cargo,org_politica,persona_juridica,fin_departamento,fin_municipio,campana,tipo,cont_n_contratista,cont_tot_contratista,aportes_n,aportes_tot,aportes_cand_n
NA,NA,Persona Natural,CAUCA,ROSAS,Regionales 2015,Financiador,1727,919685067395,12,38062410,3
NA,NA,Persona Natural,VALLE,CALI,Congreso 2018,Financiador,177,46822327579,66,93082685,23
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,9,214552e3,1,1e6,1
NA,NA,Persona Natural,HUILA,NEIVA,Regionales 2015,Financiador,4,70155e3,1,48e5,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,4,57739270,1,7e6,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,3,2196e4,1,1e5,1
Concejo,PARTIDO POLO DEMOCRATICO ALTERNATIVO,Persona Natural,HUILA,CAMPOALEGRE,Regionales 2015,Candidato|Financiador,3,162e5,1,2e5,1
Alcaldía,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,VALLE,ULLOA,Regionales 2015,Candidato|Financiador,3,16e6,1,2e6,1
Alcaldía,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,RISARALDA,GUATICA,Regionales 2015,Candidato|Financiador,6,137737500,1,3e6,1
Alcaldía,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,CALDAS,SAN JOSE,Regionales 2015,Candidato|Financiador,3,192584137,1,1e7,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ANTIOQUIA,BRICEÑO,Regionales 2015,Candidato|Financiador,3,9194400,1,15e5,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,NA,NA,Regionales 2015,Candidato,2,1e7,NA,NA,NA
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,7,96305413,3,16e6,1
NA,NA,Persona Natural,RISARALDA,DOSQUEBRADAS,Regionales 2015,Financiador,6,89491700,1,1e7,1
Alcaldía,PARTIDO CAMBIO RADICAL,Persona Natural,BOLIVAR,ACHI,Regionales 2015,Candidato|Financiador,6,109855942,1,365e5,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,RISARALDA,BALBOA,Regionales 2015,Candidato|Financiador,3,35988612,1,1e6,1
Asamblea,PARTIDO CAMBIO RADICAL,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,2,19783946,1,4083091,1
Cámara de Representantes,PARTIDO CENTRO DEMOCRATICO,Persona Natural,BOGOTA D.C.,BOGOTA D.C.,Congreso 2018,Candidato|Financiador,8,189877e3,2,575e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,BOYACA,SUTAMARCHAN,Regionales 2015,Candidato|Financiador,6,104276158,1,1e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,BOYACA,TUNJA,Regionales 2015,Candidato|Financiador,3,58834240,1,18e5,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,RISARALDA,DOSQUEBRADAS,Regionales 2015,Candidato|Financiador,6,41629252,1,703520,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Congreso 2018,Financiador,2,215e5,1,9e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,3,49570550,1,1125e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,MAGDALENA,CERRO DE SAN ANTONIO,Regionales 2015,Candidato|Financiador,2,9009600,1,24e4,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,NORTE DE SANTANDER,LA ESPERANZA,Regionales 2015,Candidato|Financiador,2,9256520,1,1e5,1
Concejo,PARTIDO ALIANZA VERDE,Persona Natural,NORTE DE SANTANDER,LA ESPERANZA,Regionales 2015,Candidato|Financiador,6,20272980,1,1e5,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,BETULIA,Regionales 2015,Candidato|Financiador,3,29125e3,1,3e5,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SANTANDER,TONA,Regionales 2015,Candidato|Financiador,4,34853e3,2,799e3,1
Concejo,PARTIDO CAMBIO RADICAL,Persona Natural,SANTANDER,SAN MIGUEL,Regionales 2015,Candidato|Financiador,3,25610700,1,5e4,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,SAN MIGUEL,Regionales 2015,Candidato|Financiador,2,15186700,1,5e4,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,SUCRE,SAN BENITO ABAD,Regionales 2015,Candidato|Financiador,4,21866666,1,41e5,1
Gobernación,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,GUAVIARE,SAN JOSE DEL GUAVIARE,Regionales 2015,Candidato|Financiador,3,320680954,1,18e7,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,SANTANDER,PUERTO WILCHES,Regionales 2015,Candidato|Financiador,3,35884e3,1,1329500,1
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,6,468e5,1,45e5,1
NA,NA,Persona Natural,VALLE,CALI,Regionales 2015,Financiador,3,30124112,1,2155500,1
Alcaldía,PEREIRA FIRME Y PARTIDO CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,7,263529634,4,14746e3,1
NA,NA,Persona Natural,VALLE,BUENAVENTURA,Regionales 2015,Financiador,5,29183048,1,6e6,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,23,119397689,1,8e6,1
Concejo,PARTIDO LIBERAL COLOMBIANO,Persona Natural,CASANARE,SAN LUIS DE PALENQUE,Regionales 2015,Candidato|Financiador,2,387e5,1,1255300,1
Concejo,PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U,Persona Natural,ARAUCA,TAME,Regionales 2015,Candidato|Financiador,2,594e4,1,12e5,1
Asamblea,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,GUAVIARE,SAN JOSE DEL GUAVIARE,Regionales 2015,Candidato|Financiador,3,408e5,1,2e5,1
Concejo,MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO,Persona Natural,CASANARE,TAMARA,Regionales 2015,Candidato|Financiador,6,307e5,1,3e5,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,CASANARE,SACAMA,Regionales 2015,Candidato|Financiador,2,34239937,1,2134500,1
Concejo,PARTIDO OPCION CIUDADANA,Persona Natural,NORTE DE SANTANDER,VILLA CARO,Regionales 2015,Candidato|Financiador,2,21933e3,1,15e4,1
Concejo,PARTIDO POLO DEMOCRATICO ALTERNATIVO,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,5,90932285,2,66e5,1
Concejo,PARTIDO CONSERVADOR COLOMBIANO,Persona Natural,NORTE DE SANTANDER,ARBOLEDAS,Regionales 2015,Candidato|Financiador,3,1725e4,1,2e5,1
Concejo,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,3,26840661,1,172e4,1
NA,NA,Persona Natural,RISARALDA,LA VIRGINIA,Congreso 2018,Financiador,2,18e6,1,4e6,1
NA,NA,Persona Natural,ANTIOQUIA,TARAZA,Regionales 2015,Financiador,3,151e6,1,9e6,1
Concejo,PEREIRA CAMBIA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Candidato|Financiador,3,26762749,1,35e4,1
Concejo,PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI,Persona Natural,RISARALDA,LA VIRGINIA,Regionales 2015,Candidato|Financiador,4,63141e3,1,1e5,1
NA,NA,Persona Natural,QUINDIO,FILANDIA,Regionales 2015,Financiador,3,54130934,1,3e6,1
Concejo,CENTRO DEMOCRATICO,Persona Natural,RISARALDA,GUATICA,Regionales 2015,Candidato|Financiador,3,16337860,2,261500,1
NA,NA,Persona Natural,CESAR,VALLEDUPAR,Regionales 2015,Financiador,2,56e6,3,2e7,1
NA,NA,Persona Natural,RISARALDA,PEREIRA,Regionales 2015,Financiador,3,46530056,1,1e7,1
